"","site","Species","lat","lon"
"1","Lovell, WY","Diorhabda carinulata",44.84794,-108.198472
"2","Lovelock, NV","Diorhabda carinulata",40.031938,-118.5575225
"3","Pueblo, CO","Diorhabda carinulata",38.27,-104.71
"4","Artesia, NM","Diorhabda carinulata",33,-104.33
"5","Delta, UT","Diorhabda carinulata",39.129386,-112.851798666667
"6","St. George, UT","Diorhabda carinulata",37.086639,-113.5653155
"7","Gold Butte, NV","Diorhabda carinulata",36.7613455,-114.155952
"8","Lake Mead, NV","Diorhabda carinulata",36.37703,-114.39589
"9","Princess, NV","Diorhabda carinulata",35.267115,-114.5799405
"10","Big Bend, NV","Diorhabda carinulata",35.0831125,-114.6487165
"11","Topock Marsh, AZ","Diorhabda carinulata",34.764898,-114.538707
"12","Blythe, CA","Diorhabda carinulata",33.911892,-114.532853
"13","Cibola, CA","Diorhabda carinulata",33.30366,-114.677389
"14","Imperial, AZ","Diorhabda carinulata",33.037047,-114.522747
